Average_Temperature_Deg_C,Year,Month,Country
-4.44,1901-1930,February,USA
-0.09,1901-1930,March,USA
5.6,1901-1930,April,USA
11.74,1901-1930,May,USA
16.85,1901-1930,June,USA
19.65,1901-1930,July,USA
18.6,1901-1930,August,USA
14.34,1901-1930,September,USA
7.76,1901-1930,October,USA
0.42,1901-1930,November,USA
-4.91,1901-1930,December,USA
-5.77,1931-1960,January,USA
-4.01,1931-1960,February,USA
-0.38,1931-1960,March,USA
6.16,1931-1960,April,USA
12.21,1931-1960,May,USA
17.27,1931-1960,June,USA
19.06,1931-1960,August,USA
14.81,1931-1960,September,USA
8.39,1931-1960,October,USA
0.41,1931-1960,November,USA
-4.24,1931-1960,December,USA
-4.17,1961-1990,February,USA
0.2,1961-1990,March,USA
6.0,1961-1990,April,USA
12.19,1961-1990,May,USA
17.22,1961-1990,June,USA
18.94,1961-1990,August,USA
14.5,1961-1990,September,USA
7.78,1961-1990,October,USA
0.46,1961-1990,November,USA
-4.67,1961-1990,December,USA
-4.89,1991-2016,January,USA
-2.88,1991-2016,February,USA
0.96,1991-2016,March,USA
6.75,1991-2016,April,USA
12.83,1991-2016,May,USA
17.82,1991-2016,June,USA
19.47,1991-2016,August,USA
15.18,1991-2016,September,USA
8.31,1991-2016,October,USA
1.04,1991-2016,November,USA
-3.63,1991-2016,December,USA
-5.82,1901-2016,January,USA
-3.91,1901-2016,February,USA
0.14,1901-2016,March,USA
6.1,1901-2016,April,USA
12.22,1901-2016,May,USA
17.27,1901-2016,June,USA
19.0,1901-2016,August,USA
14.69,1901-2016,September,USA
8.05,1901-2016,October,USA
0.57,1901-2016,November,USA
-4.39,1901-2016,December,USA
